This is a comma-delimited file constructed by integrating
records from multiple sources. The variables are:
Protraction, Region, Gas, Oil, Date
   South  Pelto  Area,central3571603,"232,331",2000-08-01
   South  Pelto  Area,central3259073,"221,394",2000-09-01
   South  Pelto  Area,central3221987,"232,470",2000-10-01
South Pelto Area,Central3392314,"183,883",2000-11-01
South Pelto Area,CENTRAL3109604,"230,176",2000-12-01
   South  Pelto  Area,CENTRAL4610586,"261,910"
   South  Pelto  Area,central3904510,"235,504",2001-02-01
South Pelto Area,Central4602118,"256,630",2001-03-01
   South  Pelto  Area,central,,,2001-04-01
South Pelto Area,Central5074114,"279,852",2001-05-01
South Pelto Area,Central4021779,"27O,493",2001-06-01
South Pelto Area,Central4048234,"262,214",2001-07-01
South Pelto Area,Central3744357,"246,357",2001-08-01
   South  Pelto  Area,central3530903,"246,310",2001-09-01
South Pelto Area,Central3419332,"226,806",2001-10-01
South Pelto Area,Central3403149,"216,165",2001-11-01
South Pelto Area,Central3789025,"22O,32O",2001-12-01
   South  Pelto  Area,CEntral
   South  Pelto  Area,CEntral
South Pelto Area,Central3636382,"225,315",2002-03-01
South Pelto Area,CENTRAL3661817,"215,302",2002-04-01
South Pelto Area,CENTRAL3831499,"210,434",2002-05-01
   South  Pelto  Area,central,,,2002-06-01
South Pelto Area,Central4057616,"203,245",2002-07-01
   South  Pelto  Area,central,,,2002-08-01
   South  Pelto  Area,central,,,2002-09-01
South Pelto Area,CENTRAL2632008,"115,432",2002-10-01
   South  Pelto  Area,central3126149,"167,261",2002-11-01
South Pelto Area,Central3548182,"193,992",2002-12-01
   South  Pelto  Area,CENTRAL3298254,"174,714"
South Pelto Area,Central2911859,"15O,274",2003-02-01
   South  Pelto  Area,CENTRAL3293784,"160,406"
South Pelto Area,Central3098344,"145,151",2003-04-01
South Pelto Area,Central3194481,"138,166",2003-05-01
South Pelto Area,CENTRAL2829575,"131,021",2003-06-01
South Pelto Area,Central3007699,"149,426",2003-07-01
   South  Pelto  Area,CEntral2832473,"151,017"
South Pelto Area,CENTRAL2505255,"138,074",2003-09-01
   South  Pelto  Area,Central2487718,"161,402",2003-10-01
South Pelto Area,CENTRAL2282380,"146,214",2003-11-01
   South  Pelto  Area,central,,,2003-12-01
   South  Pelto  Area,CEntral2394650,"160,221"
   South  Pelto  Area,central2216435,"152,901",2004-02-01
South Pelto Area,Central2752352,"183,664",2004-03-01
South Pelto Area,Central2965891,"231,84O",2004-04-01
   South  Pelto  Area,CEntral
South Pelto Area,CENTRAL2635235,"238,040",2004-06-01
South Pelto Area,CENTRAL2543536,"237,269",2004-07-01
South Pelto Area,CENTRAL2298113,"217,803",2004-08-01
South Pelto Area,Central1926387,"168,491",2004-09-01
   South  Pelto  Area,central2134854,"179,047",2004-10-01
South Pelto Area,Central1920875,"186,760",2004-11-01
   South  Pelto  Area,central1841965,"165,229",2004-12-01
South Pelto Area,CENTRAL1811136,"152,780",2005-01-01
South Pelto Area,CENTRAL1672641,"127,055",2005-02-01
   South  Pelto  Area,CEntral1904663,"172,368"
   South  Pelto  Area,central1727962,"177,212",2005-04-01
South Pelto Area,CENTRAL1688200,"178,837",2005-05-01
South Pelto Area,Central1520720,"171,874",2005-06-01
   South  Pelto  Area,CEntral
South Pelto Area,CENTRAL1378326,"150,723",2005-08-01
   South  Pelto  Area,CENTRAL543007,"33,833"
South Pelto Area,Central993220,"101,643",2005-10-01
South Pelto Area,Central1136197,"165,487",2005-11-01
South Pelto Area,Central1091686,"158,926",2005-12-01
South Pelto Area,Central932834,"137,649",2006-01-01
South Pelto Area,Central823772,"141,106",2006-02-01
   South  Pelto  Area,CEntral1058306,"155,751"
   South  Timbalier  Area,central,,,1996-01-01
   South  Timbalier  Area,CEntral19662401,"1,574,595"
   South  Timbalier  Area,Central20611981,"1,653,221",1996-03-01
South Timbalier Area,CENTRAL18785175,"1,600,188",1996-04-01
   South  Timbalier  Area,Central18923619,"1,598,591",1996-05-01
   South  Timbalier  Area,CEntral18794745,"1,562,190"
South Timbalier Area,Central21725000,"1,769,714",1996-07-01
South Timbalier Area,Central21855097,"1,8O3,O86",1996-08-01
   South  Timbalier  Area,central24288449,"1,967,514",1996-09-01
South Timbalier Area,CENTRAL24234920,"1,889,528",1996-10-01
   South  Timbalier  Area,CEntral25926590,"1,900,502"
South Timbalier Area,CENTRAL27716857,"1,989,656",1996-12-01
South Timbalier Area,Central26580968,"2,OO4,436",1997-01-01
South Timbalier Area,Central23837887,"1,816,933",1997-02-01
   South  Timbalier  Area,CEntral26341842,"2,044,472"
South Timbalier Area,Central25485134,"1,932,8O4",1997-04-01
   South  Timbalier  Area,central24945450,"1,843,644",1997-05-01
South Timbalier Area,CENTRAL25924349,"2,003,529",1997-06-01
   South  Timbalier  Area,CEntral
   South  Timbalier  Area,Central23423625,"1,992,265",1997-08-01
   South  Timbalier  Area,central,,,1997-09-01
South Timbalier Area,CENTRAL25042886,"2,370,615",1997-10-01
   South  Timbalier  Area,central24407797,"2,281,984",1997-11-01
South Timbalier Area,Central24375071,"2,367,512",1997-12-01
South Timbalier Area,Central26479376,"2,235,270",1998-01-01
South Timbalier Area,CENTRAL23815103,"2,041,828",1998-02-01
   South  Timbalier  Area,central,,,1998-03-01
   South  Timbalier  Area,CENTRAL27893207,"2,118,308"
South Timbalier Area,CENTRAL30111674,"2,042,275",1998-05-01
South Timbalier Area,CENTRAL30959860,"2,179,360",1998-06-01
   South  Timbalier  Area,CEntral30530044,"2,119,844"
South Timbalier Area,Central31088420,"2,249,149",1998-08-01
South Timbalier Area,Central21627589,"1,5O3,911",1998-09-01
   South  Timbalier  Area,central26514456,"1,940,775",1998-10-01
South Timbalier Area,CENTRAL22747512,"1,652,143",1998-11-01
   South  Timbalier  Area,central24787770,"1,840,865",1998-12-01
   South  Timbalier  Area,CEntral24392294,"1,797,797"
   South  Timbalier  Area,CEntral
South Timbalier Area,Central25126216,"1,849,065",1999-03-01
South Timbalier Area,CENTRAL24680252,"1,878,583",1999-04-01
   South  Timbalier  Area,CEntral
   South  Timbalier  Area,central,,,1999-06-01
South Timbalier Area,CENTRAL26230475,"2,145,809",1999-07-01
South Timbalier Area,Central25172915,"2,O58,617",1999-08-01
   South  Timbalier  Area,CEntral24411425,"2,197,948"
   South  Timbalier  Area,CEntral
South Timbalier Area,Central22367149,"2,O81,O88",1999-11-01
   South  Timbalier  Area,central,,,1999-12-01
   South  Timbalier  Area,CEntral
   South  Timbalier  Area,CEntral
   South  Timbalier  Area,central23807758,"2,000,656",2000-03-01
South Timbalier Area,Central22633809,"1,794,674",2000-04-01
   South  Timbalier  Area,CEntral23583464,"1,985,538"
   South  Timbalier  Area,central,,,2000-06-01
South Timbalier Area,Central25790036,"2,341,492",2000-07-01
South Timbalier Area,Central26202346,"2,484,67O",2000-08-01
   South  Timbalier  Area,CEntral
South Timbalier Area,CENTRAL28429005,"2,411,422",2000-10-01
South Timbalier Area,Central27586433,"2,37O,52O",2000-11-01
   South  Timbalier  Area,CENTRAL26669955,"2,399,719"
South Timbalier Area,CENTRAL28391139,"2,369,612",2001-01-01
South Timbalier Area,Central26680535,"2,256,884",2001-02-01
South Timbalier Area,Central27869796,"2,4O5,872",2001-03-01
South Timbalier Area,CENTRAL26701047,"2,355,806",2001-04-01
   South  Timbalier  Area,Central26234166,"2,433,250",2001-05-01
South Timbalier Area,Central25271743,"2,411,355",2001-06-01
   South  Timbalier  Area,central26943062,"2,526,514",2001-07-01
South Timbalier Area,Central24686464,"2,347,O16",2001-08-01
South Timbalier Area,CENTRAL25400166,"2,358,089",2001-09-01
   South  Timbalier  Area,CENTRAL27205899,"2,658,745"
South Timbalier Area,CENTRAL27030723,"2,539,303",2001-11-01
South Timbalier Area,CENTRAL29197592,"2,675,977",2001-12-01
South Timbalier Area,Central29377690,"2,696,074",2002-01-01
   South  Timbalier  Area,CENTRAL27587452,"2,485,252"
South Timbalier Area,Central31794315,"2,850,577",2002-03-01
South Timbalier Area,Central30412118,"2,761,5O8",2002-04-01
South Timbalier Area,CENTRAL34321136,"2,770,381",2002-05-01
South Timbalier Area,CENTRAL33427751,"2,503,229",2002-06-01
   South  Timbalier  Area,CEntral34242580,"2,626,006"
   South  Timbalier  Area,central32434202,"2,491,378",2002-08-01
South Timbalier Area,Central26197937,"1,984,752",2002-09-01
   South  Timbalier  Area,Central23514902,"1,841,528",2002-10-01
South Timbalier Area,CENTRAL27702073,"1,940,598",2002-11-01
   South  Timbalier  Area,CENTRAL27943781,"2,069,444"
   South  Timbalier  Area,central25717263,"1,955,086",2003-01-01
   South  Timbalier  Area,CEntral23769686,"1,735,930"
South Timbalier Area,Central26078388,"1,985,653",2003-03-01
   South  Timbalier  Area,CEntral24843063,"1,934,260"
   South  Timbalier  Area,Central25087451,"2,164,781",2003-05-01
South Timbalier Area,Central22824742,"1,969,224",2003-06-01
South Timbalier Area,Central22199184,"2,017,751",2003-07-01
South Timbalier Area,CENTRAL21990282,"2,054,083",2003-08-01
South Timbalier Area,Central21569274,"2,O94,315",2003-09-01
   South  Timbalier  Area,central,,,2003-10-01
   South  Timbalier  Area,CENTRAL20685041,"2,219,916"
South Timbalier Area,CENTRAL22048778,"2,362,815",2003-12-01
South Timbalier Area,CENTRAL24753322,"2,447,676",2004-01-01
South Timbalier Area,Central24421166,"2,548,5OO",2004-02-01
   South  Timbalier  Area,Central27175939,"2,751,465",2004-03-01
South Timbalier Area,Central25505521,"2,456,O63",2004-04-01
   South  Timbalier  Area,central25774227,"2,656,958",2004-05-01
South Timbalier Area,Central22125793,"2,508,636",2004-06-01
South Timbalier Area,CENTRAL22117654,"2,578,307",2004-07-01
South Timbalier Area,Central20745675,"2,531,831",2004-08-01
South Timbalier Area,Central16765927,"2,O57,O78",2004-09-01
South Timbalier Area,Central17902835,"2,382,887",2004-10-01
   South  Timbalier  Area,central,,,2004-11-01
   South  Timbalier  Area,CENTRAL17111920,"2,371,858"
   South  Timbalier  Area,CEntral
South Timbalier Area,Central16037105,"2,148,81O",2005-02-01
   South  Timbalier  Area,central16563994,"2,437,364",2005-03-01
   South  Timbalier  Area,CEntral
South Timbalier Area,Central17459590,"2,471,838",2005-05-01
South Timbalier Area,CENTRAL16781218,"2,308,481",2005-06-01
South Timbalier Area,Central15619919,"2,1O6,293",2005-07-01
   South  Timbalier  Area,CENTRAL14650149,"1,814,013"
   South  Timbalier  Area,CENTRAL4700537,"532,602"
South Timbalier Area,CENTRAL10357639,"1,522,849",2005-10-01
South Timbalier Area,Central10706881,"1,548,417",2005-11-01
   South  Timbalier  Area,central,,,2005-12-01
South Timbalier Area,CENTRAL11181768,"1,381,313",2006-01-01
South Timbalier Area,Central9892603,"1,217,8O6",2006-02-01
   South  Timbalier  Area,Central8664942,"834,379",2006-03-01
   Vermilion  Area,central,,,1996-01-01
   Vermilion  Area,CEntral
Vermilion Area,Central31826941,"1,395,134",1996-03-01
Vermilion Area,CENTRAL28966921,"1,315,112",1996-04-01
Vermilion Area,CENTRAL30825587,"1,352,884",1996-05-01
Vermilion Area,Central28336658,"1,224,795",1996-06-01
Vermilion Area,Central28148932,"1,3O3,574",1996-07-01
   Vermilion  Area,central,,,1996-08-01
   Vermilion  Area,central25414617,"1,228,018",1996-09-01
   Vermilion  Area,central24905067,"1,274,895",1996-10-01
   Vermilion  Area,CENTRAL23931172,"1,212,890"
   Vermilion  Area,CEntral
   Vermilion  Area,central,,,1997-01-01
Vermilion Area,CENTRAL27283446,"1,246,862",1997-02-01
   Vermilion  Area,CEntral
Vermilion Area,Central28527540,"1,390,753",1997-04-01
   Vermilion  Area,central30074130,"1,411,235",1997-05-01
   Vermilion  Area,central29931386,"1,457,394",1997-06-01
   Vermilion  Area,central,,,1997-07-01
Vermilion Area,CENTRAL30004707,"1,585,534",1997-08-01
Vermilion Area,CENTRAL27748344,"1,387,743",1997-09-01
   Vermilion  Area,central27496713,"1,436,200",1997-10-01
   Vermilion  Area,CEntral26165251,"1,416,091"
Vermilion Area,Central27259397,"1,410,761",1997-12-01
   Vermilion  Area,central,,,1998-01-01
Vermilion Area,Central24760358,"1,2O3,927",1998-02-01
Vermilion Area,Central28123102,"1,3O9,271",1998-03-01
   Vermilion  Area,central,,,1998-04-01
Vermilion Area,Central25681264,"1,35O,618",1998-05-01
   Vermilion  Area,CEntral
Vermilion Area,Central25393535,"1,270,789",1998-07-01
Vermilion Area,CENTRAL25030230,"1,182,883",1998-08-01
Vermilion Area,CENTRAL20235836,"808,763",1998-09-01
   Vermilion  Area,central23779398,"1,190,745",1998-10-01
   Vermilion  Area,CEntral22566283,"1,129,127"
   Vermilion  Area,central22492287,"1,188,740",1998-12-01
   Vermilion  Area,Central22117052,"1,177,657",1999-01-01
Vermilion Area,Central20875964,"1,128,150",1999-02-01
Vermilion Area,Central23819517,"1,195,644",1999-03-01
   Vermilion  Area,CENTRAL22559768,"1,118,031"
Vermilion Area,Central22364530,"1,O97,4O1",1999-05-01
Vermilion Area,Central21260966,"1,O16,633",1999-06-01
Vermilion Area,CENTRAL23434846,"1,071,426",1999-07-01
   Vermilion  Area,CENTRAL24042661,"1,087,789"
   Vermilion  Area,central23846919,"1,126,983",1999-09-01
   Vermilion  Area,central25270108,"1,105,490",1999-10-01
Vermilion Area,CENTRAL24838175,"1,082,504",1999-11-01
   Vermilion  Area,CEntral25686396,"1,014,056"
Vermilion Area,Central26224615,"1,076,917",2000-01-01
Vermilion Area,CENTRAL23564916,"990,347",2000-02-01
   Vermilion  Area,CEntral26108664,"1,049,130"
Vermilion Area,Central25242972,"995,980",2000-04-01
   Vermilion  Area,central26384954,"1,222,415",2000-05-01
   Vermilion  Area,CEntral24382984,"1,166,109"
   Vermilion  Area,Central25255577,"1,166,843",2000-07-01
Vermilion Area,Central24851531,"1,223,422",2000-08-01
   Vermilion  Area,CENTRAL23960368,"1,163,289"
   Vermilion  Area,Central24381763,"1,140,870",2000-10-01
   Vermilion  Area,CEntral
Vermilion Area,Central23544135,"1,111,191",2000-12-01
Vermilion Area,Central23954147,"1,116,276",2001-01-01
Vermilion Area,Central21975486,"1,OO6,797",2001-02-01
   Vermilion  Area,central22953222,"1,115,516",2001-03-01
   Vermilion  Area,Central21870731,"1,125,590",2001-04-01
Vermilion Area,Central20990034,"1,189,17O",2001-05-01
   Vermilion  Area,Central18563392,"1,080,220",2001-06-01
   Vermilion  Area,central,,,2001-07-01
Vermilion Area,Central19217601,"1,2O3,OO1",2001-08-01
   Vermilion  Area,CEntral
Vermilion Area,Central18136153,"1,075,558",2001-10-01
Vermilion Area,Central17581235,"1,O11,171",2001-11-01
   Vermilion  Area,CEntral17170510,"962,376"
   Vermilion  Area,central15853981,"931,984",2002-01-01
   Vermilion  Area,central13673056,"903,803",2002-02-01
   Vermilion  Area,CEntral
   Vermilion  Area,Central14152722,"991,787",2002-04-01
Vermilion Area,CENTRAL13681248,"1,087,090",2002-05-01
Vermilion Area,Central12673540,"976,61O",2002-06-01
Vermilion Area,Central13153345,"974,223",2002-07-01
Vermilion Area,CENTRAL13629237,"969,199",2002-08-01
   Vermilion  Area,CEntral11472498,"777,015"
Vermilion Area,CENTRAL10373395,"682,867",2002-10-01
Vermilion Area,Central11636398,"795,701",2002-11-01
Vermilion Area,Central12363051,"815,277",2002-12-01
   Vermilion  Area,CEntral
Vermilion Area,Central12492930,"775,415",2003-02-01
   Vermilion  Area,CEntral14304118,"833,993"
   Vermilion  Area,central13112675,"888,922",2003-04-01
   Vermilion  Area,central12907844,"817,636",2003-05-01
Vermilion Area,Central12672128,"779,986",2003-06-01
   Vermilion  Area,CEntral
   Vermilion  Area,CEntral13886866,"1,020,123"
   Vermilion  Area,Central12713482,"948,581",2003-09-01
   Vermilion  Area,CENTRAL12780259,"1,063,172"
Vermilion Area,Central12397948,"966,371",2003-11-01
Vermilion Area,Central12800740,"1,052,085",2003-12-01
Vermilion Area,CENTRAL13139102,"1,097,218",2004-01-01
   Vermilion  Area,CEntral
Vermilion Area,Central12043263,"951,72O",2004-03-01
   Vermilion  Area,CEntral11479110,"866,873"
   Vermilion  Area,CEntral
Vermilion Area,CENTRAL11086710,"979,830",2004-06-01
Vermilion Area,Central11836500,"995,593",2004-07-01
Vermilion Area,Central12365635,"1,OO2,661",2004-08-01
   Vermilion  Area,CEntral10514653,"842,736"
Vermilion Area,Central11459654,"888,5O1",2004-10-01
Vermilion Area,CENTRAL11348283,"950,532",2004-11-01
Vermilion Area,Central11755191,"972,663",2004-12-01
   Vermilion  Area,CENTRAL11970183,"925,477"
Vermilion Area,Central11681949,"825,O92",2005-02-01
   Vermilion  Area,CENTRAL12353303,"957,359"
Vermilion Area,CENTRAL11741875,"905,884",2005-04-01
   Vermilion  Area,central,,,2005-05-01
Vermilion Area,Central12544005,"952,O18",2005-06-01
Vermilion Area,Central12008317,"745,828",2005-07-01
Vermilion Area,CENTRAL11472033,"838,116",2005-08-01
Vermilion Area,Central8101967,"523,793",2005-09-01
   Vermilion  Area,central3016909,"54,968",2005-10-01
   Vermilion  Area,CENTRAL6190242,"223,062"
Vermilion Area,CENTRAL7799810,"322,897",2005-12-01
Vermilion Area,Central7920377,"345,293",2006-01-01
   Vermilion  Area,central,,,2006-02-01
Vermilion Area,CENTRAL7376356,"491,202",2006-03-01
Viosca Knoll,Central4726490,"327,892",1996-01-01
   Viosca  Knoll,central,,,1996-02-01
   Viosca  Knoll,CEntral5105086,"278,247"
Viosca Knoll,CENTRAL5064376,"277,445",1996-04-01
Viosca Knoll,CENTRAL4925054,"299,104",1996-05-01
Viosca Knoll,Central4876590,"286,627",1996-06-01
Viosca Knoll,Central4356306,"260,620",1996-07-01
   Viosca  Knoll,central,,,1996-08-01
   Viosca  Knoll,CEntral
   Viosca  Knoll,central6658193,"253,123",1996-10-01
   Viosca  Knoll,central8205788,"264,609",1996-11-01
Viosca Knoll,Central8900259,"334,126",1996-12-01
   Viosca  Knoll,CEntral
Viosca Knoll,CENTRAL6405072,"262,583",1997-02-01
Viosca Knoll,CENTRAL7333699,"338,067",1997-03-01
   Viosca  Knoll,central,,,1997-04-01
Viosca Knoll,Central8308355,"659,984",1997-05-01
Viosca Knoll,CENTRAL7717001,"797,803",1997-06-01
Viosca Knoll,Central8762415,"887,726",1997-07-01
   Viosca  Knoll,CENTRAL9606667,"1,037,803"
Viosca Knoll,Central10666025,"1,2OO,123",1997-09-01
   Viosca  Knoll,central,,,1997-10-01
   Viosca  Knoll,CEntral
   Viosca  Knoll,CEntral
Viosca Knoll,Central14382329,"2,O62,168",1998-01-01
Viosca Knoll,Central10654910,"1,814,864",1998-02-01
Viosca Knoll,CENTRAL14897803,"2,574,382",1998-03-01
Viosca Knoll,CENTRAL15185906,"2,864,658",1998-04-01
Viosca Knoll,Central15875110,"2,539,137",1998-05-01
Viosca Knoll,CENTRAL15101101,"2,568,489",1998-06-01
   Viosca  Knoll,central15539726,"2,535,354",1998-07-01
Viosca Knoll,CENTRAL15433269,"2,263,346",1998-08-01
   Viosca  Knoll,central13699638,"1,817,603",1998-09-01
   Viosca  Knoll,CEntral
Viosca Knoll,Central20864290,"2,525,728",1998-11-01
Viosca Knoll,Central22842208,"2,621,571",1998-12-01
Viosca Knoll,Central23331163,"2,671,845",1999-01-01
   Viosca  Knoll,CEntral
   Viosca  Knoll,central,,,1999-03-01
   Viosca  Knoll,central,,,1999-04-01
Viosca Knoll,CENTRAL24454650,"2,781,047",1999-05-01
   Viosca  Knoll,Central24374341,"2,646,492",1999-06-01
Viosca Knoll,Central24900258,"2,531,233",1999-07-01
Viosca Knoll,Central25476954,"2,796,467",1999-08-01
   Viosca  Knoll,CEntral23069675,"2,527,807"
   Viosca  Knoll,central22689455,"2,542,334",1999-10-01
Viosca Knoll,Central23760805,"2,676,919",1999-11-01
Viosca Knoll,Central24967189,"2,769,449",1999-12-01
   Viosca  Knoll,CEntral
   Viosca  Knoll,central24020992,"2,330,336",2000-02-01
   Viosca  Knoll,central,,,2000-03-01
   Viosca  Knoll,Central24658045,"2,198,645",2000-04-01
   Viosca  Knoll,central25157294,"2,258,524",2000-05-01
   Viosca  Knoll,central24292229,"2,108,284",2000-06-01
   Viosca  Knoll,Central25070560,"2,191,542",2000-07-01
   Viosca  Knoll,central,,,2000-08-01
Viosca Knoll,Central24236317,"2,428,389",2000-09-01
   Viosca  Knoll,central,,,2000-10-01
   Viosca  Knoll,CENTRAL26289509,"2,705,138"
   Viosca  Knoll,CEntral29837022,"3,016,286"
   Viosca  Knoll,central,,,2001-01-01
Viosca Knoll,Central24368851,"2,753,978",2001-02-01
   Viosca  Knoll,Central29546488,"3,470,400",2001-03-01
   Viosca  Knoll,central30708389,"3,461,829",2001-04-01
Viosca Knoll,Central32929332,"3,6OO,6O2",2001-05-01
Viosca Knoll,CENTRAL31278958,"3,863,121",2001-06-01
   Viosca  Knoll,central,,,2001-07-01
   Viosca  Knoll,central28308196,"3,722,009",2001-08-01
   Viosca  Knoll,CEntral
Viosca Knoll,CENTRAL31383331,"4,138,746",2001-10-01
Viosca Knoll,Central28474805,"3,859,480",2001-11-01
   Viosca  Knoll,CEntral
   Viosca  Knoll,central28333111,"3,625,885",2002-01-01
Viosca Knoll,CENTRAL29279266,"3,538,923",2002-02-01
Viosca Knoll,Central36420692,"4,407,988",2002-03-01
   Viosca  Knoll,central,,,2002-04-01
   Viosca  Knoll,CEntral
Viosca Knoll,CENTRAL34446362,"3,754,803",2002-06-01
Viosca Knoll,Central36352754,"3,876,138",2002-07-01
Viosca Knoll,CENTRAL35218630,"3,792,893",2002-08-01
   Viosca  Knoll,CENTRAL29053637,"3,111,398"
Viosca Knoll,Central30392032,"3,276,O99",2002-10-01
Viosca Knoll,CENTRAL33465571,"3,672,350",2002-11-01
   Viosca  Knoll,Central34020065,"3,634,574",2002-12-01
   Viosca  Knoll,CEntral
Viosca Knoll,Central27167038,"3,022,978",2003-02-01
   Viosca  Knoll,Central30463553,"3,495,804",2003-03-01
   Viosca  Knoll,central,,,2003-04-01
   Viosca  Knoll,CEntral
   Viosca  Knoll,central28778582,"3,456,466",2003-06-01
Viosca Knoll,Central29599546,"3,677,5O2",2003-07-01
   Viosca  Knoll,CEntral
Viosca Knoll,CENTRAL26727782,"3,497,440",2003-09-01
   Viosca  Knoll,central,,,2003-10-01
Viosca Knoll,CENTRAL24547990,"3,217,197",2003-11-01
Viosca Knoll,Central24572117,"3,299,361",2003-12-01
   Viosca  Knoll,CEntral23364205,"3,432,605"
   Viosca  Knoll,central22985606,"3,246,557",2004-02-01
Viosca Knoll,Central23891482,"3,127,5O6",2004-03-01
Viosca Knoll,Central22561030,"2,764,921",2004-04-01
Viosca Knoll,Central23280645,"2,722,569",2004-05-01
   Viosca  Knoll,central20925334,"2,663,813",2004-06-01
Viosca Knoll,CENTRAL22763937,"2,864,940",2004-07-01
   Viosca  Knoll,central21892702,"2,647,381",2004-08-01
Viosca Knoll,Central9886212,"1,15O,589",2004-09-01
   Viosca  Knoll,CEntral
Viosca Knoll,CENTRAL15183998,"1,026,287",2004-11-01
Viosca Knoll,CENTRAL16772548,"1,385,910",2004-12-01
Viosca Knoll,Central16285707,"1,351,448",2005-01-01
   Viosca  Knoll,central,,,2005-02-01
Viosca Knoll,Central18927471,"2,O6O,895",2005-03-01
   Viosca  Knoll,CEntral
Viosca Knoll,Central23163502,"2,832,629",2005-05-01
Viosca Knoll,CENTRAL21822452,"2,561,468",2005-06-01
Viosca Knoll,CENTRAL19360650,"2,420,578",2005-07-01
Viosca Knoll,CENTRAL17493776,"2,198,057",2005-08-01
   Viosca  Knoll,central,,,2005-09-01
Viosca Knoll,Central14587770,"1,691,475",2005-10-01
Viosca Knoll,CENTRAL18466546,"2,338,408",2005-11-01
Viosca Knoll,Central18196235,"2,6O4,83O",2005-12-01
Viosca Knoll,Central17858095,"2,758,168",2006-01-01
Viosca Knoll,Central15466538,"2,366,429",2006-02-01
   Viosca  Knoll,Central17336450,"2,622,719",2006-03-01
West Cameron Area,Central34719430,"342,268",1996-01-01
   West  Cameron  Area,CEntral
West Cameron Area,Central33523103,"324,178",1996-03-01
   West  Cameron  Area,central32310592,"324,816",1996-04-01
   West  Cameron  Area,central34361016,"389,117",1996-05-01
West Cameron Area,CENTRAL33686669,"392,233",1996-06-01
West Cameron Area,CENTRAL35636401,"444,909",1996-07-01
   West  Cameron  Area,CEntral
West Cameron Area,Central32648908,"412,039",1996-09-01
   West  Cameron  Area,central33469604,"476,128",1996-10-01
West Cameron Area,Central32033449,"450,370",1996-11-01
West Cameron Area,Central32141868,"38O,251",1996-12-01
   West  Cameron  Area,central31599654,"389,689",1997-01-01
   West  Cameron  Area,central29123731,"401,621",1997-02-01
   West  Cameron  Area,central33832016,"482,233",1997-03-01
   West  Cameron  Area,Central37165458,"612,583",1997-04-01
   West  Cameron  Area,CEntral39589188,"640,476"
West Cameron Area,CENTRAL37949340,"596,616",1997-06-01
   West  Cameron  Area,CEntral
West Cameron Area,CENTRAL41390738,"639,186",1997-08-01
   West  Cameron  Area,central,,,1997-09-01
West Cameron Area,CENTRAL39333585,"611,050",1997-10-01
   West  Cameron  Area,central,,,1997-11-01
   West  Cameron  Area,central,,,1997-12-01
West Cameron Area,Central36760182,"828,702",1998-01-01
West Cameron Area,Central30272023,"695,532",1998-02-01
West Cameron Area,Central36926159,"934,668",1998-03-01
   West  Cameron  Area,CEntral
West Cameron Area,Central39855201,"963,941",1998-05-01
West Cameron Area,Central35698727,"78O,O12",1998-06-01
West Cameron Area,CENTRAL34869998,"780,861",1998-07-01
   West  Cameron  Area,central,,,1998-08-01
West Cameron Area,Central28495467,"5OO,OO4",1998-09-01
West Cameron Area,CENTRAL35249740,"631,758",1998-10-01
West Cameron Area,CENTRAL36483774,"601,031",1998-11-01
   West  Cameron  Area,central36478618,"581,473",1998-12-01
   West  Cameron  Area,central35316599,"572,311",1999-01-01
West Cameron Area,Central32964206,"469,1O5",1999-02-01
   West  Cameron  Area,CENTRAL37350818,"507,107"
   West  Cameron  Area,central36936247,"464,920",1999-04-01
West Cameron Area,CENTRAL37868600,"493,586",1999-05-01
West Cameron Area,CENTRAL35639670,"505,508",1999-06-01
   West  Cameron  Area,central37671080,"514,073",1999-07-01
   West  Cameron  Area,central37384984,"467,524",1999-08-01
   West  Cameron  Area,CEntral
West Cameron Area,CENTRAL36031517,"471,081",1999-10-01
West Cameron Area,CENTRAL32500976,"548,134",1999-11-01
West Cameron Area,Central34824336,"579,586",1999-12-01
West Cameron Area,Central34714395,"604,031",2000-01-01
West Cameron Area,Central32189596,"512,97O",2000-02-01
West Cameron Area,Central34466747,"515,234",2000-03-01
   West  Cameron  Area,CENTRAL33049736,"474,984"
   West  Cameron  Area,central,,,2000-05-01
West Cameron Area,Central33157995,"432,948",2000-06-01
   West  Cameron  Area,central36924363,"433,768",2000-07-01
   West  Cameron  Area,central,,,2000-08-01
   West  Cameron  Area,CENTRAL38496154,"617,600"
West Cameron Area,CENTRAL39018588,"624,968",2000-10-01
   West  Cameron  Area,central,,,2000-11-01
   West  Cameron  Area,CEntral
West Cameron Area,Central38226106,"723,787",2001-01-01
   West  Cameron  Area,CEntral36983051,"625,570"
   West  Cameron  Area,CEntral
   West  Cameron  Area,CEntral39975277,"577,597"
West Cameron Area,Central41338879,"546,O93",2001-05-01
   West  Cameron  Area,central41830639,"518,972",2001-06-01
   West  Cameron  Area,central44914795,"562,529",2001-07-01
   West  Cameron  Area,central,,,2001-08-01
West Cameron Area,Central40958370,"5OO,762",2001-09-01
West Cameron Area,Central38674585,"463,869",2001-10-01
   West  Cameron  Area,central,,,2001-11-01
West Cameron Area,Central36133087,"482,O35",2001-12-01
West Cameron Area,Central33097225,"528,208",2002-01-01
West Cameron Area,CENTRAL30584440,"495,010",2002-02-01
